congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
115,President,99912,99,0.0,USA,200.0,0,0,"TRUMP, Donald John",,1946.0,,0.403,0.162,,,,,,,
115,Senate,41704,41,0.0,AL,200.0,,,"STRANGE, Luther  Johnson, III",S001202,1953.0,,0.56,0.18,-10.12332,0.95801,236,4,,0.57,0.225
115,Senate,41705,41,0.0,AL,100.0,,,"JONES, Gordon Douglas (Doug)",J000300,1954.0,,-0.088,0.187,-37.36526,0.84182,217,19,,-0.113,0.108
115,Senate,49700,41,0.0,AL,200.0,,,"SESSIONS, Jefferson Beauregard (Jeff), III",S001141,1946.0,,0.549,0.13,-0.56654,0.97062,19,0,,0.357,0.241
115,Senate,94659,41,0.0,AL,200.0,,,"SHELBY, Richard C.",S000320,1934.0,,0.446,0.57,-26.8573,0.94957,519,14,,0.394,0.49
115,Senate,40300,81,0.0,AK,200.0,,,"MURKOWSKI, Lisa",M001153,1957.0,,0.203,-0.304,-62.89116,0.88312,506,21,,0.229,-0.259
115,Senate,41500,81,0.0,AK,200.0,,,"SULLIVAN, Daniel Scott",S001198,1964.0,,0.463,0.187,-40.34537,0.92336,506,15,,0.47,0.008
115,Senate,15039,61,0.0,AZ,200.0,,,"McCAIN, John Sidney, III",M000303,1936.0,2018.0,0.381,-0.626,-41.58471,0.85272,261,18,,0.394,-0.762
115,Senate,15429,61,0.0,AZ,200.0,,,"KYL, Jon Llewellyn",K000352,1942.0,,0.548,-0.413,-8.46959,0.87605,64,2,,0.586,0.272
115,Senate,20100,61,0.0,AZ,200.0,,,"FLAKE, Jeff",F000444,1962.0,,0.855,-0.518,-62.93724,0.87639,477,28,,0.853,-0.522
115,Senate,20101,42,0.0,AR,200.0,,,"BOOZMAN, John",B001236,1950.0,,0.426,0.34,-18.68152,0.96464,519,4,,0.383,0.333
